user_id,product_id,quantity,timestamp,age,gender,location,product_name,category,price,brand,day_of_week,time_of_day,weather
941,93,5,2022-01-01 00:00:00.000000000,59,male,Bristol,Product 93,Meat,0.5498782923223415,Brand C,Saturday,evening,rainy
319,93,4,2022-04-15 17:35:54.815481548,65,female,Glasgow,Product 93,Meat,0.5498782923223415,Brand C,Friday,evening,rainy
854,93,4,2022-07-07 17:36:20.738073806,58,male,Bristol,Product 93,Meat,0.5498782923223415,Brand C,Thursday,evening,rainy
211,93,2,2022-05-07 01:34:45.688568856,56,male,London,Product 93,Meat,0.5498782923223415,Brand C,Saturday,afternoon,rainy
247,93,5,2022-03-03 18:38:50.873087308,22,male,Birmingham,Product 93,Meat,0.5498782923223415,Brand C,Thursday,afternoon,sunny
33,93,4,2022-06-27 07:43:52.223222322,45,female,Sheffield,Product 93,Meat,0.5498782923223415,Brand C,Monday,afternoon,sunny
89,93,4,2022-09-26 00:57:36.345634564,77,female,Liverpool,Product 93,Meat,0.5498782923223415,Brand C,Monday,afternoon,cloudy
323,93,5,2022-09-09 22:47:25.004500448,62,female,Liverpool,Product 93,Meat,0.5498782923223415,Brand C,Friday,afternoon,rainy
8,93,1,2022-05-27 23:04:33.267326732,21,male,Belfast,Product 93,Meat,0.5498782923223415,Brand C,Friday,evening,sunny
440,93,4,2022-04-18 18:59:17.875787578,80,male,Edinburgh,Product 93,Meat,0.5498782923223415,Brand C,Monday,evening,cloudy
440,93,1,2022-08-04 06:06:48.280828080,80,male,Edinburgh,Product 93,Meat,0.5498782923223415,Brand C,Thursday,evening,sunny
641,93,3,2022-08-11 13:43:28.460846084,79,female,Manchester,Product 93,Meat,0.5498782923223415,Brand C,Thursday,afternoon,cloudy
793,93,2,2022-03-02 15:33:47.362736273,58,male,Southampton,Product 93,Meat,0.5498782923223415,Brand C,Wednesday,morning,cloudy
297,93,3,2022-05-13 15:43:00.378037804,76,male,London,Product 93,Meat,0.5498782923223415,Brand C,Friday,afternoon,sunny
