user_id,product_id,quantity,timestamp,age,gender,location,product_name,category,price,brand,shelf_life,usual_storage,day_of_week,time_of_day,weather
589,62,5,2022-01-01 00:00:00.000000000,39,male,Glasgow,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Saturday,morning,sunny
723,62,4,2022-10-21 06:25:31.593159316,35,female,Nottingham,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Friday,afternoon,sunny
713,62,4,2022-02-06 03:34:17.605760576,61,female,Cardiff,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Sunday,evening,rainy
791,62,4,2022-05-06 04:36:39.099909990,71,female,Bristol,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Friday,afternoon,rainy
162,62,5,2022-07-06 17:08:33.051305130,19,female,Liverpool,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Wednesday,morning,sunny
890,62,4,2022-09-06 17:54:20.846084608,34,female,Sheffield,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Tuesday,morning,rainy
89,62,1,2022-04-29 12:43:33.861386138,70,male,Southampton,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Friday,afternoon,rainy
637,62,1,2022-01-21 09:15:53.735373537,25,female,Manchester,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Friday,afternoon,cloudy
930,62,4,2022-04-09 00:50:24.302430243,61,female,Nottingham,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Saturday,evening,sunny
518,62,5,2022-01-27 20:46:52.601260126,22,female,Nottingham,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Thursday,evening,cloudy
720,62,3,2022-06-09 15:59:34.077407740,49,male,Birmingham,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Thursday,evening,rainy
48,62,1,2022-09-08 22:19:37.317731772,24,female,Sheffield,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Thursday,morning,sunny
167,62,4,2022-02-25 00:08:29.810981098,23,female,Cardiff,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Friday,afternoon,cloudy
993,62,5,2022-06-18 09:40:39.963996398,19,male,Manchester,Product 62,Bakery,9.146205903124626,Brand A,11,Refrigerator,Saturday,evening,sunny
